Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
61,2021,4,1.75,0,0.05,0.065,0,0
64,2021,4,1.75,0,0.05,0.065,0,0
65,2021,4,1.75,0,0,0,0,0
66,2021,4,1.75,0,0,0,0,0
67,2021,4,1.75,0,0,0,0,0
70,2021,4,1.75,0,0,0,0,0
71,2021,4,1.75,0,0,0,0,0
74,2021,4,1.75,0,0,0,0,0
75,2021,4,1.75,0,0,0,0,0
76,2021,2,1.75,0,0.05,0.065,0,0
77,2021,2,1.75,0,0.05,0.065,0,0
78,2021,2,1.75,0,0.11,0.19,0,0
80,2021,6,2,1,0,0,0,0
81,2021,6,2,1,0,0,0,0
82,2021,6,2,1,0,0,0,0
83,2021,6,2,1,0,0,0,0
84,2021,10,4,0.75,0,0,0,0
85,2021,10,4,0.75,0,0,0,0
86,2021,6,2,1,0,0,0,0
87,2021,6,2,1,0,0,0,0
88,2021,6,2,1,0,0,0,0
89,2021,6,2,1,0,0,0,0
90,2021,6,2,1,0,0,0,0
91,2021,6,2,1,0,0,0,0
92,2021,6,2,1,0.05,0.065,0,0
94,2021,6,2,1,0,0,0,0
95,2021,6,2,1,0,0,0,0
100,2021,6,2,1,0,0,0,0
103,2021,6,2,1,0,0,0,0
104,2021,6,2,1,0,0,0,0
107,2021,6,2,1,0,0,0,0
110,2021,6,2,1,0,0,0,0
111,2021,6,2,1,0,0,0,0
112,2021,6,2,1,0,0,0,0
114,2021,6,2,1,0,0,0,0
116,2021,6,2,1,0,0,0,0
117,2021,6,2,1,0,0,0,0
118,2021,6,2,1,0.11,0.19,0,0
120,2021,6,2,1,0,0,0,0
124,2021,6,2,1,0,0,0,0
125,2021,6,2,1,0.11,0.19,0,0
126,2021,6,2,1,0.05,0.065,0,0
128,2021,6,2,1,0,0,0,0
129,2021,10,4,0.75,0,0,0,0
130,2021,10,4,0.75,0,0,0,0
131,2021,6,2,1,0,0,0,0
132,2021,6,2,1,0,0,0,0
133,2021,10,4,0.75,0,0,0,0
134,2021,6,2,1,0.05,0.065,0,0.54708
135,2021,4,1.75,0,0,0,0,0
136,2021,4,1.75,0,0,0,0,0
137,2021,4,1.75,0,0,0,0,0
138,2021,10,4,0.75,0,0,0,0
139,2021,10,4,0.75,0,0,0,0
140,2021,6,2,1,0,0,0,0
141,2021,6,2,1,0,0,0,0
143,2021,4,1.75,0,0.05,0.065,0,3.4
144,2021,4,1.75,0,0.05,0.065,0,3.4
146,2021,6,2,1,0,0,0,0
147,2021,6,2,1,0,0,0,0
148,2021,6,2,1,0,0,0,0
149,2021,6,2,1,0.05,0.065,0,0.54708
150,2021,6,2,1,0,0,0,0
151,2021,4,1.75,0,0,0,0,0
152,2021,10,4,0.75,0,0,0,0
153,2021,10,4,0.75,0,0,0,0
154,2021,6,2,1,0,0,0,0
155,2021,6,2,1,0,0,0,0
156,2021,6,2,1,0,0,0,0
158,2021,4,1.75,0,0,0,0,0
162,2021,4,1.75,0,0.05,0.065,0,0
164,2021,4,1.75,0,0,0,0,0
168,2021,4,1.75,0,0,0,0,0
169,2021,10,4,0.75,0,0,0,0
170,2021,10,4,0.75,0,0,0,0
171,2021,10,4,0.75,0,0,0,0
172,2021,4,1.75,0,0,0,0,0
173,2021,4,1.75,0,0,0,0,0
180,2021,6,2,1,0,0,0,0
185,2021,10,4,0.75,0,0,0,0
186,2021,6,2,1,0,0,0,0
189,2021,6,2,1,0,0,0,0
193,2021,10,4,0.75,0,0,0,0
194,2021,6,2,1,0,0,0,0
196,2021,6,2,1,0,0,0,0
200,2021,4,1.75,0,0.05,0.065,0,0
204,2021,6,2,1,0,0,0,0
205,2021,6,2,1,0,0,0,0
206,2021,10,4,0.75,0,0,0,0
207,2021,10,4,0.75,0,0,0,0
211,2021,4,1.75,0,0.05,0.065,0,3.4
212,2021,4,1.75,0,0.05,0.065,0,3.4
213,2021,4,1.75,0,0.11,0.19,0,4.95
214,2021,4,1.75,0,0,0,0,0
220,2021,4,1.75,0,0.05,0.065,0,3.4
221,2021,4,1.75,0,0.05,0.065,0,3.4
222,2021,4,1.75,0,0.05,0.065,0,0
223,2021,4,1.75,0,0.05,0.065,0,3.4
224,2021,4,1.75,0,0,0,0,0
225,2021,4,1.75,0,0.05,0.065,0,0
226,2021,4,1.75,0,0.05,0.065,0,0
227,2021,4,0.5,0,0.11,0.19,0,4.95
229,2021,2,1.75,0,0.11,0.19,0,4.95
230,2021,2,1.75,0,0,0,0,0
231,2021,2,1.75,0,0,0,0,0
232,2021,2,0.5,0,0,0,0,0
233,2021,2,1.75,0,0.11,0.19,0,0
234,2021,2,1.75,0,0.11,0.19,0,0
235,2021,2,1.75,0,0.05,0.065,0,3.4
236,2021,4,1.75,0,0.11,0.19,0,4.95
237,2021,4,1.75,0,0.11,0.19,0,4.95
238,2021,4,0.5,0,0.11,0.19,0,4.95
242,2021,4,1.75,0,0.11,0.19,0,4.95
243,2021,2,1.75,0,0.05,0.065,0,3.4
244,2021,4,1.75,0,0,0,0,0
245,2021,2,1.75,0,0,0,0,0
246,2021,2,1.75,0,0.11,0.19,0,4.95
249,2021,2,0.25,0,0.11,0.19,0,4.95
254,2021,4,1.75,0,0.11,0.19,0,4.95
256,2021,2,1.75,0,0.11,0.19,0,4.95
257,2021,2,1.75,0,0.11,0.19,0,4.95
258,2021,2,1.75,0,0.05,0.065,0,0
259,2021,2,1.75,0,0.05,0.065,0,3.4
260,2021,2,1.75,0,0.11,0.19,0,4.95
261,2021,4,1.75,0,0.11,0.19,0,4.95
279,2021,3,1.75,0,0.11,0.19,0,0
280,2021,4,1.75,0,0.11,0.19,0,4.95
281,2021,1,0.5,0,0.11,0.19,0,0
282,2021,4,1.75,0,0,0,0,0
283,2021,4,1.75,0,0,0,0,0
284,2021,4,1.75,0,0,0,0,0
285,2021,4,1.75,0,0,0,0,0
286,2021,2,1.75,0,0,0,0,0
289,2021,4,1.75,0,0,0,0,0
290,2021,2,1.75,0,0,0,0,0
294,2021,2,1.75,0,0.05,0.065,0,3.4
295,2021,4,1.75,0,0,0,0,0
296,2021,4,1.75,0,0,0,0,0
298,2021,4,1.75,0,0,0,0,0
299,2021,2,1.75,0,0.05,0.065,0,3.4
300,2021,4,1.75,0,0,0,0,0
301,2021,4,1.75,0,0.11,0.19,0,4.95
302,2021,2,1.75,0,0.11,0.19,0,0
303,2021,2,1.75,0,0,0,0,0
304,2021,2,1.75,0,0.05,0.065,0,3.4
309,2021,4,0.5,0,0.11,0.19,0,4.95
310,2021,2,1.75,0,0,0,0,0
312,2021,2,1.75,0,0.11,0.19,0,4.95
313,2021,2,1.75,0,0.05,0.065,0,3.4
314,2021,2,1.75,0,0.11,0.19,0,4.95
322,2021,3,1.75,0,0,0,0,0
323,2021,4,1.75,0,0,0,0,0
324,2021,4,1.75,0,0,0,0,0
330,2021,3,1.75,0,0.05,0.065,0,3.4
332,2021,4,1.75,0,0,0,0,0
333,2021,4,1.75,0,0,0,0,0
334,2021,4,1.75,0,0,0,0,0
335,2021,4,1.75,0,0,0,0,0
336,2021,4,1.75,0,0,0,0,0
338,2021,4,1.75,0,0,0,0,0
345,2021,4,1.75,0,0,0,0,0
346,2021,4,1.75,0,0,0,0,0
347,2021,4,1.75,0,0,0,0,0
350,2021,4,1.75,0,0,0,0,0
354,2021,4,1.75,0,0.05,0.065,0,3.4
357,2021,4,1.75,0,0,0,0,0
358,2021,4,1.75,0,0,0,0,0
359,2021,4,1.75,0,0,0,0,0
360,2021,4,1.75,0,0,0,0,0
361,2021,4,1.75,0,0,0,0,0
362,2021,4,1.75,0,0,0,0,0
363,2021,4,1.75,0,0,0,0,0
365,2021,4,1.75,0,0.11,0.19,0,0
366,2021,4,1.75,0,0,0,0,0
368,2021,4,1.75,0,0,0,0,0
373,2021,4,1.75,0,0,0,0,0
374,2021,4,1.75,0,0.05,0.065,0,0
376,2021,4,1.75,0,0,0,0,0
378,2021,4,1.75,0,0,0,0,0
379,2021,4,1.75,0,0,0,0,0
380,2021,4,1.75,0,0,0,0,0
381,2021,4,1.75,0,0.05,0.065,0,0
382,2021,4,1.75,0,0,0,0,0
383,2021,4,1.75,0,0,0,0,0
384,2021,4,1.75,0,0,0,0,0
388,2021,4,1.75,0,0,0,0,0
389,2021,4,1.75,0,0,0,0,0
390,2021,4,1.75,0,0,0,0,0
395,2021,4,1.75,0,0,0,0,0
396,2021,4,1.75,0,0,0,0,0
411,2021,6,2,1,0,0,0,0
414,2021,6,2,1,0,0,0,0
415,2021,6,2,1,0,0,0,0
416,2021,6,2,1,0,0,0,0
417,2021,6,2,1,0,0,0,0
418,2021,10,4,0.75,0,0,0,0
419,2021,6,2,1,0,0,0,0
420,2021,6,2,1,0,0,0,0
421,2021,4,1.75,0,0,0,0,0
422,2021,6,2,1,0,0,0,0
423,2021,10,4,0.75,0,0,0,0
424,2021,10,4,0.75,0,0,0,0
426,2021,4,1.75,0,0,0,0,0
427,2021,6,2,1,0,0,0,0
428,2021,6,2,1,0,0,0,0
429,2021,4,1.75,0,0,0,0,0
430,2021,4,1.75,0,0,0,0,0
431,2021,6,2,1,0,0,0,0
432,2021,6,2,1,0,0,0,0
433,2021,4,1.75,0,0,0,0,0
434,2021,4,1.75,0,0,0,0,0
435,2021,4,1.75,0,0,0,0,0
436,2021,4,1.75,0,0,0,0,0
437,2021,10,4,0.75,0,0,0,0
439,2021,4,1.75,0,0.11,0.19,0,0
442,2021,4,1.75,0,0,0,0,0
443,2021,10,4,0.75,0,0,0,0
444,2021,10,4,0.75,0,0,0,0
447,2021,4,1.75,0,0,0,0,0
450,2021,6,2,1,0,0,0,0
451,2021,6,2,1,0,0,0,0
31,2050,10,4,0.75,0,0,0,0
32,2050,6,2,1,0,0,0,0
33,2050,10,4,0.75,0,0,0,0
34,2050,6,2,1,0,0,0,0
35,2050,6,2,1,0,0,0,0
36,2050,10,4,0.75,0,0,0,0
37,2050,6,2,1,0,0,0,0
38,2050,6,2,1,0,0,0,0
39,2050,6,2,1,0,0,0,0
40,2050,4,1.75,0,0,0,0,0
41,2050,6,2,1,0,0,0,0
42,2050,6,2,1,0,0,0,0
43,2050,6,2,1,0,0,0,0
44,2050,4,1.75,0,0,0,0,0
45,2050,4,1.75,0,0,0,0,0
47,2050,4,1.75,0,0,0,0,0
48,2050,4,1.75,0,0,0,0,0
