Geo,Year,TotEmp,RetEmp,SvcEmp
47,2050,46.0,0.0,44.0
48,2050,69.0,0.0,0.0
49,2050,143.0,23.0,111.0
50,2050,85.0,0.0,50.0
51,2050,137.0,1.0,15.0
52,2050,204.0,28.0,156.0
53,2050,56.0,2.0,31.0
54,2050,100.0,2.0,42.0
55,2050,85.0,0.0,4.0
56,2050,55.0,0.0,42.0
61,2050,537.0,290.0,150.0
64,2050,562.0,307.0,57.0
65,2050,43.0,0.0,14.0
66,2050,136.0,0.0,80.0
67,2050,113.0,1.0,71.0
70,2050,29.0,1.0,12.0
71,2050,297.0,30.0,242.0
74,2050,6.0,0.0,5.0
75,2050,8.0,1.0,4.0
76,2050,464.0,163.0,136.0
77,2050,91.0,35.0,56.0
78,2050,142.0,0.0,102.0
80,2050,40.0,0.0,3.0
81,2050,65.0,0.0,21.0
82,2050,535.0,50.0,278.0
83,2050,33.0,4.0,14.0
84,2050,350.0,127.0,86.0
85,2050,8.0,1.0,0.0
86,2050,4.0,0.0,2.0
87,2050,93.0,1.0,40.0
88,2050,83.0,0.0,78.0
89,2050,57.0,0.0,15.0
90,2050,28.0,2.0,23.0
91,2050,104.0,0.0,99.0
92,2050,1410.0,995.0,237.0
94,2050,115.0,0.0,45.0
95,2050,96.0,53.0,14.0
100,2050,334.0,0.0,293.0
103,2050,92.0,12.0,62.0
104,2050,418.0,182.0,161.0
107,2050,624.0,86.0,322.0
110,2050,119.0,11.0,28.0
111,2050,40.0,0.0,35.0
112,2050,202.0,49.0,84.0
114,2050,333.0,193.0,66.0
116,2050,76.0,0.0,36.0
117,2050,63.0,0.0,24.0
118,2050,640.0,216.0,229.0
120,2050,432.0,81.0,241.0
124,2050,68.0,29.0,37.0
125,2050,181.0,71.0,38.0
126,2050,537.0,0.0,0.0
128,2050,85.0,0.0,29.0
129,2050,129.0,40.0,33.0
130,2050,36.0,14.0,9.0
131,2050,244.0,48.0,32.0
132,2050,138.0,43.0,2.0
133,2050,131.0,4.0,2.0
134,2050,38.0,15.0,0.0
135,2050,135.0,1.0,113.0
136,2050,167.0,0.0,15.0
137,2050,35.0,0.0,7.0
138,2050,43.0,23.0,7.0
139,2050,125.0,2.0,2.0
140,2050,239.0,17.0,138.0
141,2050,432.0,225.0,65.0
143,2050,571.0,14.0,205.0
144,2050,277.0,277.0,0.0
146,2050,264.0,6.0,248.0
147,2050,239.0,0.0,100.0
148,2050,113.0,14.0,37.0
149,2050,970.0,18.0,101.0
150,2050,263.0,0.0,112.0
151,2050,149.0,58.0,63.0
152,2050,64.0,0.0,1.0
153,2050,21.0,0.0,14.0
154,2050,205.0,3.0,97.0
155,2050,141.0,20.0,64.0
156,2050,528.0,206.0,108.0
158,2050,1202.0,702.0,272.0
162,2050,765.0,71.0,164.0
164,2050,435.0,144.0,232.0
168,2050,169.0,3.0,51.0
169,2050,0.0,0.0,0.0
170,2050,57.0,1.0,36.0
171,2050,18.0,0.0,11.0
172,2050,137.0,0.0,89.0
173,2050,1816.0,1169.0,452.0
180,2050,1138.0,557.0,261.0
185,2050,110.0,0.0,21.0
186,2050,1.0,0.0,1.0
189,2050,569.0,72.0,168.0
193,2050,186.0,35.0,100.0
194,2050,500.0,183.0,25.0
196,2050,717.0,237.0,252.0
200,2050,342.0,272.0,9.0
204,2050,157.0,63.0,63.0
205,2050,265.0,0.0,45.0
206,2050,105.0,0.0,5.0
207,2050,117.0,7.0,15.0
211,2050,923.0,71.0,45.0
212,2050,546.0,33.0,22.0
213,2050,146.0,42.0,55.0
214,2050,271.0,140.0,61.0
220,2050,347.0,41.0,116.0
221,2050,810.0,22.0,289.0
222,2050,70.0,0.0,0.0
223,2050,497.0,231.0,60.0
224,2050,393.0,393.0,0.0
225,2050,304.0,190.0,48.0
226,2050,293.0,27.0,205.0
227,2050,486.0,48.0,246.0
229,2050,178.0,53.0,104.0
230,2050,106.0,0.0,32.0
231,2050,35.0,9.0,7.0
232,2050,303.0,29.0,166.0
233,2050,45.0,9.0,36.0
234,2050,40.0,0.0,7.0
235,2050,473.0,0.0,20.0
236,2050,374.0,30.0,10.0
237,2050,523.0,44.0,45.0
238,2050,1434.0,113.0,500.0
242,2050,549.0,62.0,435.0
243,2050,417.0,7.0,93.0
244,2050,122.0,17.0,20.0
245,2050,76.0,17.0,39.0
246,2050,4171.0,2.0,89.0
249,2050,5442.0,1104.0,1976.0
254,2050,682.0,116.0,255.0
256,2050,533.0,9.0,217.0
257,2050,252.0,2.0,107.0
258,2050,109.0,0.0,1.0
259,2050,1009.0,50.0,294.0
260,2050,2908.0,69.0,457.0
261,2050,4299.0,117.0,3961.0
279,2050,19.0,0.0,0.0
280,2050,451.0,22.0,224.0
281,2050,102.0,7.0,76.0
282,2050,27.0,19.0,2.0
283,2050,163.0,9.0,15.0
284,2050,107.0,12.0,34.0
285,2050,42.0,6.0,11.0
286,2050,1094.0,486.0,411.0
289,2050,82.0,17.0,28.0
290,2050,112.0,4.0,35.0
294,2050,1662.0,0.0,0.0
295,2050,41.0,0.0,37.0
296,2050,224.0,0.0,26.0
298,2050,51.0,23.0,6.0
299,2050,664.0,0.0,24.0
300,2050,113.0,61.0,14.0
301,2050,215.0,48.0,95.0
302,2050,55.0,7.0,17.0
303,2050,60.0,16.0,33.0
304,2050,3107.0,509.0,557.0
309,2050,124.0,39.0,76.0
310,2050,870.0,79.0,574.0
312,2050,609.0,86.0,332.0
313,2050,1870.0,174.0,438.0
314,2050,169.0,52.0,78.0
322,2050,60.0,0.0,22.0
323,2050,527.0,195.0,170.0
324,2050,384.0,141.0,153.0
330,2050,2174.0,99.0,933.0
332,2050,17.0,0.0,16.0
333,2050,37.0,14.0,12.0
334,2050,153.0,29.0,82.0
335,2050,575.0,229.0,220.0
336,2050,741.0,311.0,304.0
338,2050,191.0,20.0,146.0
345,2050,43.0,1.0,17.0
346,2050,12.0,0.0,5.0
347,2050,89.0,21.0,59.0
350,2050,409.0,186.0,118.0
354,2050,5166.0,706.0,1669.0
357,2050,593.0,300.0,175.0
358,2050,232.0,25.0,121.0
359,2050,122.0,27.0,87.0
360,2050,38.0,3.0,25.0
361,2050,20.0,0.0,19.0
362,2050,81.0,0.0,0.0
363,2050,304.0,75.0,126.0
365,2050,95.0,11.0,34.0
366,2050,156.0,70.0,69.0
368,2050,765.0,278.0,291.0
373,2050,854.0,1.0,698.0
374,2050,744.0,582.0,90.0
376,2050,141.0,104.0,18.0
378,2050,125.0,0.0,69.0
379,2050,27.0,11.0,12.0
380,2050,172.0,6.0,104.0
381,2050,332.0,0.0,241.0
382,2050,228.0,0.0,33.0
383,2050,175.0,5.0,92.0
384,2050,161.0,80.0,64.0
388,2050,14.0,0.0,6.0
389,2050,174.0,0.0,95.0
390,2050,124.0,7.0,66.0
395,2050,5194.0,283.0,668.0
396,2050,151.0,0.0,28.0
411,2050,1777.0,0.0,605.0
414,2050,22.0,0.0,1.0
415,2050,81.0,0.0,32.0
416,2050,182.0,43.0,55.0
417,2050,301.0,38.0,18.0
418,2050,4.0,0.0,0.0
419,2050,12.0,0.0,8.0
420,2050,43.0,2.0,16.0
421,2050,30.0,0.0,20.0
422,2050,22.0,0.0,3.0
423,2050,43.0,0.0,31.0
424,2050,0.0,0.0,0.0
426,2050,76.0,0.0,66.0
427,2050,1.0,0.0,0.0
428,2050,9.0,0.0,6.0
429,2050,95.0,7.0,84.0
430,2050,19.0,3.0,4.0
431,2050,76.0,0.0,13.0
432,2050,16.0,0.0,6.0
433,2050,107.0,32.0,59.0
434,2050,7.0,0.0,2.0
435,2050,120.0,0.0,55.0
436,2050,263.0,0.0,242.0
437,2050,0.0,0.0,0.0
439,2050,65.0,0.0,42.0
442,2050,0.0,0.0,0.0
443,2050,0.0,0.0,0.0
444,2050,0.0,0.0,0.0
447,2050,9.0,1.0,4.0
450,2050,33.0,25.0,0.0
451,2050,47.0,0.0,37.0
