Geo,Year,PM25
170,2050,5.645223774
171,2050,5.646158865
172,2050,5.699959196
173,2050,5.738197043
180,2050,5.708400306
185,2050,5.645891612
186,2050,5.699884897
189,2050,5.647552607
193,2050,5.653717585
194,2050,5.645270021
196,2050,5.644197278
200,2050,5.712272742
204,2050,5.656789227
205,2050,5.656067589
206,2050,5.656268235
207,2050,5.542529945
211,2050,5.759744902
212,2050,5.715945228
213,2050,5.713431075
214,2050,5.735457639
220,2050,5.719234492
221,2050,5.714413917
222,2050,5.73519471
223,2050,5.736458551
224,2050,5.736451197
225,2050,5.769938186
226,2050,5.773342087
227,2050,5.788409729
229,2050,5.769844515
230,2050,5.733422521
231,2050,5.703356019
232,2050,5.702644809
233,2050,5.700001761
234,2050,5.700011372
235,2050,5.714056219
236,2050,5.776197154
237,2050,5.771906311
238,2050,5.801085729
242,2050,5.700074824
243,2050,5.732918578
244,2050,5.700066702
245,2050,5.700225784
246,2050,5.799372259
249,2050,5.824589489
254,2050,5.704172657
256,2050,5.743111133
257,2050,5.779561448
258,2050,5.793123253
259,2050,5.782709089
260,2050,5.800023188
261,2050,5.800238709
279,2050,5.800006935
280,2050,5.800000191
281,2050,5.80781687
282,2050,5.729224229
283,2050,5.736610508
284,2050,5.755032767
285,2050,5.699999809
286,2050,5.700584177
289,2050,5.70003959
290,2050,5.699761834
294,2050,5.699530637
295,2050,5.699519947
296,2050,5.70675318
298,2050,5.688615254
299,2050,5.652105521
300,2050,5.686713403
301,2050,5.77186037
302,2050,5.73707886
303,2050,5.787913693
304,2050,5.731893591
309,2050,5.723013375
310,2050,5.773168873
312,2050,5.741581685
313,2050,5.785636772
314,2050,5.717212161
322,2050,5.667130811
323,2050,5.670356279
324,2050,5.709439978
330,2050,5.740354736
332,2050,5.62969888
333,2050,5.568846825
334,2050,5.590779552
335,2050,5.655979239
336,2050,5.699875155
338,2050,5.702130831
345,2050,5.47353286
346,2050,5.510217089
347,2050,5.573444455
350,2050,5.678691562
354,2050,5.736439108
357,2050,5.661257891
358,2050,5.599925194
359,2050,5.588801367
360,2050,5.543148417
361,2050,5.509960121
362,2050,5.510017357
363,2050,5.502419197
365,2050,5.501090687
366,2050,5.502999007
368,2050,5.539467741
373,2050,5.636135791
374,2050,5.637449443
376,2050,5.545033538
378,2050,5.507065473
379,2050,5.500005919
380,2050,5.499993155
381,2050,5.40276217
382,2050,5.507846835
383,2050,5.509016989
384,2050,5.55110352
388,2050,5.544252562
389,2050,5.543377155
390,2050,5.503175929
395,2050,5.674292062
396,2050,5.788841219
411,2050,5.632242375
414,2050,5.518699466
415,2050,5.513545493
416,2050,5.53653525
417,2050,5.586345503
418,2050,5.454319038
419,2050,5.575431554
420,2050,5.57478203
421,2050,5.479514449
422,2050,5.476864588
423,2050,5.476444948
424,2050,5.525631496
426,2050,5.517236644
427,2050,5.518403121
428,2050,5.499883782
429,2050,5.49999339
430,2050,5.380336171
431,2050,5.379210886
432,2050,5.37752662
433,2050,5.388871474
434,2050,5.473360319
435,2050,5.446803246
436,2050,5.637998361
437,2050,5.527474312
439,2050,5.70024364
442,2050,5.634949105
443,2050,5.623793029
444,2050,5.623793029
447,2050,5.788370221
450,2050,5.477360626
451,2050,5.616760669
