ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
2018,32.07567556047621,48.28214253285717,48.28214253285717,22.726984758095252,35.00740811285716,35.00740811285716,3.7000000000000024,2.200000000000002,3.7000000000000024,2.200000000000002,24.52380952380954,24.52380952380954,171.05394968571437,164.68520355238104
2019,33.24160380000002,50.064176192380984,50.064176192380984,23.67628992190478,36.795493908571444,36.795493908571444,3.7250000000000023,2.2250000000000014,3.7250000000000023,2.2250000000000014,25.238095238095255,25.238095238095255,179.38852391428583,165.0642183000001
2020,34.10732372952383,50.70439759095241,50.70439759095241,24.562362110952392,37.193089664285736,37.193089664285736,3.7500000000000027,2.2500000000000018,3.7500000000000027,2.2500000000000018,26.666666666666682,26.666666666666682,190.14954070952393,177.21148044761912
2021,35.00436811,51.90194514,51.90194514,25.48167141,38.52928168,38.52928168,3.775,2.275,3.775,2.275,30.0,30.0,199.6000275,199.6000275
2022,36.28524444,53.89196014,53.89196014,26.7681236,40.46229159,40.46229159,3.8,2.3,3.8,2.3,30.0,30.0,206.8905312,206.8905312
2023,37.49905642,55.18920269,55.18920269,27.75156916,41.82333848,41.82333848,3.825,2.325,3.825,2.325,30.0,30.0,213.6843751,213.6843751
2024,38.28238844,55.89254067,55.89254067,29.12620009,43.54682523,43.54682523,3.85,2.35,3.85,2.35,30.0,30.0,220.4562825,220.4562825
2025,40.00615387,61.40373817,61.40373817,30.30511344,47.5414525,47.5414525,3.875,2.375,3.875,2.375,30.0,30.0,227.290576,227.290576
2026,39.81258102,61.07308347,61.07308347,30.36979662,47.77968148,47.77968148,3.9,2.4,3.9,2.4,30.0,30.0,234.244281,234.244281
2027,39.56803062,60.62762922,60.62762922,30.31884651,47.6699818,47.6699818,3.925,2.425,3.925,2.425,30.0,30.0,241.3153471,241.3153471
2028,39.36755134,60.23413326,60.23413326,30.27357228,47.48972521,47.48972521,3.95,2.45,3.95,2.45,30.0,30.0,248.5604943,248.5604943
2029,39.22192633,59.88583876,59.88583876,30.22953636,47.30087473,47.30087473,3.975,2.475,3.975,2.475,30.0,30.0,256.0145587,256.0145587
2030,39.16286293,59.5689911,59.5689911,30.20344423,47.14690808,47.14690808,4.0,2.5,4.0,2.5,30.0,30.0,263.6850956,263.6850956
2031,39.21864227,59.25190918,59.25190918,30.21704579,47.02628163,47.02628163,4.025,2.525,4.025,2.525,35.0,35.0,271.5849559,271.5849559
2032,39.7389342,58.99163765,58.99163765,30.26657968,46.92539062,46.92539062,4.05,2.55,4.05,2.55,35.0,35.0,279.7266072,279.7266072
2033,39.7389342,58.86459363,58.86459363,30.40410404,46.87708912,46.87708912,4.075,2.575,4.075,2.575,35.0,35.0,288.1169884,288.1169884
2034,39.7389342,58.83938213,58.83938213,30.7882853,46.84474732,46.84474732,4.1,2.6,4.1,2.6,35.0,35.0,296.7616204,296.7616204
2035,39.7389342,58.84581791,58.84581791,30.14084441,46.82340338,46.82340338,4.125,2.625,4.125,2.625,35.0,35.0,305.6656249,305.6656249
2036,39.7389342,58.87011626,58.87011626,30.11354515,46.80520493,46.80520493,4.15,2.65,4.15,2.65,35.0,35.0,314.8367843,314.8367843
2037,39.7389342,58.87259385,58.87259385,30.07715554,46.76886364,46.76886364,4.175,2.675,4.175,2.675,35.0,35.0,324.2831142,324.2831142
2038,39.7389342,58.8530729,58.8530729,30.04476586,46.72218636,46.72218636,4.2,2.7,4.2,2.7,35.0,35.0,334.0128707,334.0128707
2039,39.7389342,58.76171735,58.76171735,30.0068021,46.66923611,46.66923611,4.225,2.725,4.225,2.725,35.0,35.0,344.0345579,344.0345579
2040,39.7389342,58.7192676,58.7192676,29.98098555,46.63256396,46.63256396,4.25,2.75,4.25,2.75,35.0,35.0,354.3569347,354.3569347
2041,39.7389342,58.61851192,58.61851192,29.98098555,46.58341606,46.58341606,4.275,2.775,4.275,2.775,40.0,40.0,364.989023,364.989023
2042,39.7389342,58.59959979,58.59959979,29.98098555,46.54170401,46.54170401,4.3,2.8,4.3,2.8,40.0,40.0,375.9401154,375.9401154
2043,39.7389342,58.56839868,58.56839868,29.98098555,46.50237217,46.50237217,4.325,2.825,4.325,2.825,40.0,40.0,387.2197833,387.2197833
2044,39.7389342,58.50889592,58.50889592,29.98098555,46.5090634,46.5090634,4.35,2.85,4.35,2.85,40.0,40.0,398.837885,398.837885
2045,39.7389342,58.46008536,58.46008536,29.98098555,46.5255623,46.5255623,4.375,2.875,4.375,2.875,40.0,40.0,410.8045751,410.8045751
2046,39.7389342,58.41745078,58.41745078,29.98098555,46.54156873,46.54156873,4.4,2.9,4.4,2.9,40.0,40.0,423.1303126,423.1303126
2047,39.7389342,58.37137036,58.37137036,29.98098555,46.56628904,46.56628904,4.425,2.925,4.425,2.925,40.0,40.0,435.8258701,435.8258701
2048,39.7389342,58.33198355,58.33198355,29.98098555,46.5957173,46.5957173,4.45,2.95,4.45,2.95,40.0,40.0,448.9023438,448.9023438
2049,39.7389342,58.27901537,58.27901537,29.98098555,46.62658827,46.62658827,4.475,2.975,4.475,2.975,40.0,40.0,462.3711627,462.3711627
2050,39.7389342,58.2304324,58.2304324,29.98098555,46.66021206,46.66021206,4.5,3.0,4.5,3.0,40.0,40.0,476.2440986,476.2440986
