Geo,Year,SFDU,MFDU,GQDU
358,2050,348,44,0
359,2005,321,223,0
359,2021,362,259,0
359,2050,415,233,0
360,2005,322,45,0
360,2021,364,52,0
360,2050,409,83,0
361,2005,156,0,0
361,2021,176,0,0
361,2050,183,0,0
362,2005,24,0,0
362,2021,27,0,0
362,2050,3,0,0
363,2005,525,224,0
363,2021,593,261,0
363,2050,688,283,0
365,2005,147,98,0
365,2021,166,114,0
365,2050,197,105,0
366,2005,394,554,0
366,2021,444,646,0
366,2050,347,818,0
368,2005,669,268,0
368,2021,755,312,0
368,2050,741,501,0
373,2005,619,86,0
373,2021,699,100,0
373,2050,1247,336,0
374,2005,396,293,0
374,2021,447,341,0
374,2050,518,645,0
376,2005,207,247,0
376,2021,233,288,0
376,2050,236,306,0
378,2005,585,2,0
378,2021,661,2,0
378,2050,768,0,0
379,2005,386,13,0
379,2021,435,15,0
379,2050,473,14,0
380,2005,765,139,0
380,2021,863,161,0
380,2050,1011,152,0
381,2005,5,46,0
381,2021,5,53,0
381,2050,0,102,0
382,2005,488,4,0
382,2021,550,4,0
382,2050,876,155,0
383,2005,464,0,0
383,2021,524,0,0
383,2050,866,0,0
384,2005,352,186,0
384,2021,397,217,0
384,2050,446,366,0
388,2005,108,0,0
388,2021,122,0,0
388,2050,322,188,0
389,2005,546,419,0
389,2021,617,488,0
389,2050,360,843,0
390,2005,650,584,0
390,2021,734,680,0
390,2050,821,671,0
395,2005,98,0,653
395,2021,111,0,886
395,2050,40,175,1119
396,2005,525,320,0
396,2021,592,373,0
396,2050,221,782,0
411,2005,29,0,0
411,2021,32,0,0
411,2050,180,29,0
414,2005,83,0,0
414,2021,93,0,0
414,2050,114,15,0
415,2005,249,2,0
415,2021,282,2,0
415,2050,392,21,0
416,2005,509,176,0
416,2021,574,205,0
416,2050,1001,334,0
417,2005,201,13,0
417,2021,226,15,0
417,2050,232,44,0
418,2005,152,0,0
418,2021,171,0,0
418,2050,188,21,0
419,2005,66,0,0
419,2021,75,0,0
419,2050,83,3,0
420,2005,160,0,0
420,2021,181,0,0
420,2050,243,5,0
421,2005,322,167,0
421,2021,363,194,0
421,2050,408,295,0
422,2005,80,0,0
422,2021,91,0,0
422,2050,128,4,0
423,2005,101,7,0
423,2021,114,8,0
423,2050,156,19,0
424,2005,180,13,0
424,2021,204,15,0
424,2050,291,15,0
426,2005,177,2,0
426,2021,199,2,0
426,2050,701,14,0
427,2005,20,0,0
427,2021,23,0,0
427,2050,30,2,0
428,2005,44,0,0
428,2021,49,0,0
428,2050,75,2,0
429,2005,216,120,0
429,2021,244,140,0
429,2050,608,300,0
430,2005,118,46,0
430,2021,133,53,0
430,2050,622,39,0
431,2005,183,2,0
431,2021,206,2,0
431,2050,418,9,0
432,2005,95,2,0
432,2021,108,2,0
432,2050,175,5,0
433,2005,344,15,0
433,2021,388,17,0
433,2050,440,13,0
434,2005,74,0,0
434,2021,83,0,0
434,2050,118,2,0
435,2005,168,4,0
435,2021,190,4,0
435,2050,159,89,0
436,2005,1,0,0
436,2021,1,0,0
436,2050,3,10,0
437,2005,85,0,0
437,2021,96,0,0
437,2050,122,3,0
439,2005,18,0,0
439,2021,20,0,0
439,2050,24,0,0
442,2005,26,131,0
442,2021,30,153,0
442,2050,0,1,0
443,2005,2,0,0
443,2021,2,0,0
443,2050,1,0,0
444,2005,0,1,0
444,2021,0,1,0
444,2050,0,1,0
447,2005,8,182,0
447,2021,8,212,0
447,2050,24,222,0
450,2005,40,0,0
450,2021,45,0,0
450,2050,93,1,0
451,2005,75,0,0
451,2021,85,0,0
451,2050,234,35,0
