Geo,Year,ElectricityCI
Lincoln,2005,91.53756908
Lincoln,2010,89.5090008
Lincoln,2015,73.1492542377165
Lincoln,2020,68.46512226648059
Lincoln,2025,43.594375931899435
Lincoln,2030,29.19552279082614
Lincoln,2035,20.687109571101004
Lincoln,2040,18.069136272724045
Lincoln,2045,18.069136272724045
Lincoln,2050,18.069136272724045
Linn,1990,219.8161638
Linn,1995,219.8161638
Linn,2000,219.8161638
Linn,2005,219.8161638
Linn,2010,214.5872456
Linn,2015,183.9733603228711
Linn,2020,180.68874914982672
Linn,2025,112.47674057381907
Linn,2030,72.98557771402517
Linn,2035,49.649890569601475
Linn,2040,42.469679140548045
Linn,2045,42.469679140548045
Linn,2050,42.469679140548045
Malheur,1990,10.00424361
Malheur,1995,10.00424361
Malheur,2000,10.00424361
Malheur,2005,10.00424361
Malheur,2010,10.00424361
Malheur,2015,115.13906882337702
Malheur,2020,0.019644251591883148
Malheur,2025,0.019644251591883148
Malheur,2030,0.019644251591883148
Malheur,2035,0.019644251591883148
Malheur,2040,0.019644251591883148
Malheur,2045,0.019644251591883148
Malheur,2050,0.019644251591883148
Marion,1990,181.9159563
Marion,1995,181.9159563
Marion,2000,181.9159563
Marion,2005,181.9159563
Marion,2010,177.1658305
Marion,2015,138.00851478384268
Marion,2020,134.97791638248478
Marion,2025,83.77040136581111
Marion,2030,54.12394530352635
Marion,2035,36.60558490308536
Marion,2040,31.215320164488123
Marion,2045,31.215320164488123
Marion,2050,31.215320164488123
Morrow,1990,17.08533292
Morrow,1995,17.08533292
Morrow,2000,17.08533292
Morrow,2005,17.08533292
Morrow,2010,16.90893568
Morrow,2015,7.663159068431274
Morrow,2020,24.853179666065746
Morrow,2025,24.472544524057877
Morrow,2030,24.252176810263848
Morrow,2035,24.121959524840104
Morrow,2040,24.08189266778664
Morrow,2045,24.08189266778664
Morrow,2050,24.08189266778664
Multnomah,1990,187.9890614
Multnomah,1995,187.9890614
Multnomah,2000,187.9890614
Multnomah,2005,187.9890614
Multnomah,2010,183.1633368
Multnomah,2015,155.30936509941276
Multnomah,2020,152.2243825071595
Multnomah,2025,94.38019066531525
Multnomah,2030,60.891448020037025
Multnomah,2035,41.10264554782716
Multnomah,2040,35.01378324868566
Multnomah,2045,35.01378324868566
Multnomah,2050,35.01378324868566
Polk,1990,132.0711355
Polk,1995,132.0711355
Polk,2000,132.0711355
Polk,2005,132.0711355
Polk,2010,128.9715839
Polk,2015,109.94748133129926
Polk,2020,105.3234760283836
Polk,2025,66.07332306661966
Polk,2030,43.34955029928266
Polk,2035,29.92186639131079
Polk,2040,25.790271342704067
Polk,2045,25.790271342704067
Polk,2050,25.790271342704067
Sherman,1990,213.8690568
Sherman,1995,213.8690568
Sherman,2000,213.8690568
Sherman,2005,213.8690568
Sherman,2010,208.7913362
Sherman,2015,148.3775152319737
Sherman,2020,143.68320682584078
Sherman,2025,89.61732110811126
Sherman,2030,58.316018850478386
Sherman,2035,39.81979478914985
Sherman,2040,34.12864892412569
Sherman,2045,34.12864892412569
Sherman,2050,34.12864892412569
